DATE,VALUE
1968,.
1969,41.100
1970,35.964
1971,40.795
1972,58.174
1973,97.117
1974,158.764
1975,160.866
1976,124.802
1977,147.838
1978,193.574
1979,307.009
1980,614.753
1981,459.163
1982,376.108
1983,423.707
1984,360.655
1985,317.425
1986,368.198
1987,446.837
1988,436.784
1989,381.268
1990,383.733
1991,362.341
1992,343.869
1993,360.047
1994,384.159
1995,384.071
1996,387.735
1997,330.997
1998,294.122
1999,278.863
2000,279.290
2001,271.190
2002,310.076
2003,363.832
2004,409.532
2005,444.988
2006,604.338
2007,696.431
2008,872.372
2009,973.658
2010,1226.665
2011,1573.160
2012,1668.857
2013,1409.506
2014,1266.063
2015,1159.821
