DATE,VALUE
1959,1517000
1960,1252100
1961,1313000
1962,1462800
1963,1603100
1964,1528900
1965,1472900
1966,1164900
1967,1291600
1968,1507400
1969,1466800
1970,1433600
1971,2052200
1972,2356500
1973,2045200
1974,1337700
1975,1160400
1976,1537300
1977,1987100
1978,2020300
1979,1745000
1980,1292200
1981,1084100
1982,1062200
1983,1703000
1984,1749400
1985,1741700
1986,1805400
1987,1620600
1988,1488000
1989,1376100
1990,1192600
1991,1014000
1992,1199600
1993,1287700
1994,1457000
1995,1354200
1996,1476900
1997,1474000
1998,1617000
1999,1641200
2000,1568600
2001,1602900
2002,1705000
2003,1847700
2004,1955600
2005,2068100
2006,1800900
2007,1355100
2008,905500
2009,553900
2010,586900
2011,608800
2012,780600
2013,924900
2014,1003300
2015,1111900
