DATE,VALUE
1929,77.4
1930,70.1
1931,60.7
1932,48.7
1933,45.9
1934,51.5
1935,55.9
1936,62.2
1937,66.8
1938,64.3
1939,67.2
1940,71.3
1941,81.1
1942,89.0
1943,99.9
1944,108.6
1945,120.0
1946,144.3
1947,162.0
1948,175.0
1949,178.5
1950,192.2
1951,208.5
1952,219.5
1953,233.0
1954,239.9
1955,258.7
1956,271.6
1957,286.7
1958,296.0
1959,317.5
1960,331.6
1961,342.0
1962,363.1
1963,382.5
1964,411.2
1965,443.6
1966,480.6
1967,507.4
1968,557.4
1969,604.5
1970,647.7
1971,701.0
1972,769.4
1973,851.1
1974,932.0
1975,1032.8
1976,1150.2
1977,1276.7
1978,1426.2
1979,1589.5
1980,1754.6
1981,1937.5
1982,2073.9
1983,2286.5
1984,2498.2
1985,2722.7
1986,2898.4
1987,3092.1
1988,3346.9
1989,3592.8
1990,3825.6
1991,3960.2
1992,4215.7
1993,4471.0
1994,4741.0
1995,4984.2
1996,5268.1
1997,5560.7
1998,5903.0
1999,6307.0
2000,6792.4
2001,7103.1
2002,7384.1
2003,7765.5
2004,8260.0
2005,8794.1
2006,9304.0
2007,9750.5
2008,10013.6
2009,9847.0
2010,10202.2
2011,10689.3
2012,11050.6
2013,11392.3
2014,11865.9
2015,12269.1
