DATE,VALUE
1980,12.1500000000000
1981,12.1500000000000
1982,14.0500000000000
1983,12.5400000000000
1984,11.3100000000000
1985,11.4900000000000
1986,11.3600000000000
1987,10.9400000000000
1988,10.5100000000000
1989,12.0300000000000
1990,14.0500000000000
1991,15.0300000000000
1992,14.3100000000000
1993,12.5800000000000
1994,11.4500000000000
1995,12.2700000000000
1996,12.9700000000000
1997,13.0400000000000
1998,13.4100000000000
1999,11.9300000000000
2000,12.4500000000000
2001,12.9900000000000
2002,12.6800000000000
2003,13.8200000000000
2004,16.3900000000000
2005,28.1100000000000
2006,33.4500000000000
2007,36.6300000000000
2008,61.5652173913044
2009,79.9939177489178
2010,146.7196106248823
2011,167.7902176004349
2012,128.5263687380508
2013,135.3611885417320
2014,96.8414935849175
2015,55.2092708137273
