DATE,VALUE
1959,10.3
1960,10.1
1961,11.3
1962,11.1
1963,10.6
1964,11.5
1965,11.3
1966,11.1
1967,12.2
1968,11.2
1969,10.7
1970,12.6
1971,13.3
1972,12.1
1973,13.1
1974,12.9
1975,13.0
1976,11.1
1977,10.2
1978,10.2
1979,9.8
1980,10.6
1981,11.2
1982,11.5
1983,9.5
1984,10.7
1985,8.6
1986,8.2
1987,7.3
1988,7.8
1989,7.8
1990,7.8
1991,8.2
1992,8.9
1993,7.3
1994,6.3
1995,6.4
1996,5.9
1997,5.7
1998,6.2
1999,4.4
2000,4.2
2001,4.3
2002,5.0
2003,4.8
2004,4.6
2005,2.6
2006,3.3
2007,3.0
2008,4.9
2009,6.1
2010,5.6
2011,6.0
2012,7.6
2013,4.8
2014,4.8
2015,5.1
