DATE,VALUE
1980,265.316011400000
1981,261.403947635417
1982,221.289982644271
1983,259.616341198959
1984,257.505281349479
1985,202.979457186459
1986,188.948469193229
1987,195.505578027604
1988,279.724042720834
1989,246.986346686979
1990,219.100451848438
1991,208.778651514583
1992,209.802601668229
1993,230.138060327084
1994,229.510292756250
1995,224.015412585937
1996,277.457954904167
1997,280.602534534896
1998,223.290034813542
1999,174.919395125521
2000,183.051664663542
2001,168.754641022917
2002,188.866170395833
2003,233.207996862500
2004,276.700040397917
2005,223.133674709243
2006,217.453902599865
2007,317.319730782542
2008,453.314330401350
2009,378.548821900384
2010,384.946975928561
2011,484.245913145465
2012,537.761836747913
2013,517.203778399891
2014,457.813518627843
2015,347.355563686384
