DATE,VALUE
1980,172.725860595703
1981,174.961102803548
1982,160.355491638184
1983,157.415999094645
1984,152.333124796550
1985,135.829093933105
1986,114.915826161702
1987,112.894920984904
1988,145.198731740316
1989,169.243268330892
1990,135.522898991903
1991,128.658377329509
1992,151.160714467367
1993,140.211890538534
1994,149.783335367839
1995,176.960337320964
1996,197.228902513084
1997,149.512799873907
1998,114.464760694502
1999,98.260947197435
2000,100.739016070595
2001,106.372979259346
2002,132.167460022084
2003,131.571433708426
2004,133.456289354619
2005,129.885697762167
2006,168.566088794625
2007,226.884621594289
2008,286.952228147271
2009,190.111669523335
2010,194.500381255866
2011,279.989073132928
2012,276.121517268453
2013,265.751290851758
2014,242.495595021559
2015,185.607343110380
