DATE,VALUE
1970,1120328
1971,1185615
1972,1268362
1973,1308288
1974,1289645
1975,1330075
1976,1409163
1977,1463409
1978,1548212
1979,1529132
1980,1520856
1981,1550270
1982,1592481
1983,1649106
1984,1716768
1985,1774762
1986,1838241
1987,1924327
1988,2025586
1989,2107040
1990,2147501
1991,2172214
1992,2247152
1993,2296705
1994,2357588
1995,2422774
1996,2482201
1997,2560373
1998,2625364
1999,2679458
2000,2746926
2001,2795610
2002,2855509
2003,2890221
2004,2964789
2005,2989428
2006,3014371
2007,3031122
2008,2976529
2009,2956762
2010,2966963
2011,2945815
2012,2969433
2013,2988324
2014,3040651
2015,3147846
