Year,Storms,Hurricanes,Deaths,Damage (millions USD),Retired Names,Source
2013,13,2,47,"1,510",1 - Ingrid,http://www.wunderground.com/hurricane/hurrarchive.asp
2012,19,10,199,"75,000+",1 - Sandy,http://www.wunderground.com/hurricane/hurrarchive.asp
2011,20,7,100,"21,000",1 - Irene,http://www.wunderground.com/hurricane/hurrarchive.asp
2010,21,12,287,"12,356","2 - Igor, Tomas",http://www.wunderground.com/hurricane/hurrarchive.asp
2009,11,3,6,77,0,http://www.wunderground.com/hurricane/hurrarchive.asp
2008,16,8,761,"24,945","3 - Gustav, Ike, Paloma",http://www.wunderground.com/hurricane/hurrarchive.asp
2007,15,6,341,50,"3 - Dean, Felix, Noel",http://www.wunderground.com/hurricane/hurrarchive.asp
2006,10,5,5,500,0,http://www.wunderground.com/hurricane/hurrarchive.asp
2005,28,15,"3,483","115,520","5 - Dennis, Katrina, Rita, Stan, Wilma",http://www.wunderground.com/hurricane/hurrarchive.asp
2004,15,9,"3,126","45,235","4 - Charley, Frances, Ivan, Jeanne",http://www.wunderground.com/hurricane/hurrarchive.asp
2003,16,7,50,"3,580","3 - Fabian, Isabel, Juan",http://www.wunderground.com/hurricane/hurrarchive.asp
2002,12,4,23,"1,220","2 - Isidore, Lili",http://www.wunderground.com/hurricane/hurrarchive.asp
2001,15,9,92,"5,260","3 - Allison, Iris, Michelle",http://www.wunderground.com/hurricane/hurrarchive.asp
2000,15,8,30,26,1 - Keith,http://www.wunderground.com/hurricane/hurrarchive.asp
1999,12,8,78,"5,532","2 - Floyd, Lenny",http://www.wunderground.com/hurricane/hurrarchive.asp
1998,14,10,"9,715","3,165","2 - Georges, Mitch",http://www.wunderground.com/hurricane/hurrarchive.asp
1997,8,3,4,100,0,http://www.wunderground.com/hurricane/hurrarchive.asp
1996,13,9,126,"3,600","3 - Cesar, Fran, Hortense",http://www.wunderground.com/hurricane/hurrarchive.asp
1995,19,11,117,"3,729","4 - Luis, Marilyn, Opal, Roxanne",http://www.wunderground.com/hurricane/hurrarchive.asp
1994,7,3,"1,175",973,0,http://www.wunderground.com/hurricane/hurrarchive.asp
1993,8,4,267,57,0,http://www.wunderground.com/hurricane/hurrarchive.asp
1992,7,4,26,"26,500",1 - Andrew,http://www.wunderground.com/hurricane/hurrarchive.asp
1991,8,4,0,"1,500",1 - Bob,http://www.wunderground.com/hurricane/hurrarchive.asp
1990,13,8,123,57,"2 - Diana, Klaus",http://www.wunderground.com/hurricane/hurrarchive.asp
1989,11,7,56,"7,670",1 - Hugo,http://www.wunderground.com/hurricane/hurrarchive.asp
1988,12,5,555,59,"2 - Gilbert, Joan",http://www.wunderground.com/hurricane/hurrarchive.asp
1987,7,3,0,1,0,http://www.wunderground.com/hurricane/hurrarchive.asp
1986,6,4,9,17,0,http://www.wunderground.com/hurricane/hurrarchive.asp
1985,10,7,210,"3,725","2 - Elena, Gloria",http://www.wunderground.com/hurricane/hurrarchive.asp
1984,13,5,35,66,0,http://www.wunderground.com/hurricane/hurrarchive.asp
1983,4,3,21,"2,000",1 - Alicia,http://www.wunderground.com/hurricane/hurrarchive.asp
1982,6,2,138,2,0,http://www.wunderground.com/hurricane/hurrarchive.asp
1981,12,7,0,25,0,http://www.wunderground.com/hurricane/hurrarchive.asp
1980,11,9,259,300,1 - Allen,http://www.wunderground.com/hurricane/hurrarchive.asp
1979,9,5,"2,069","3,050","2 - David, Frederic",http://www.wunderground.com/hurricane/hurrarchive.asp
1978,12,5,0,20,0,http://www.wunderground.com/hurricane/hurrarchive.asp
1977,6,5,0,10,1 - Anita,http://www.wunderground.com/hurricane/hurrarchive.asp
1976,10,6,68,100,0,http://www.wunderground.com/hurricane/hurrarchive.asp
1975,9,6,80,490,1 - Eloise,http://www.wunderground.com/hurricane/hurrarchive.asp
1974,11,4,"8,002",150,"2 - Carmen, Fifi",http://www.wunderground.com/hurricane/hurrarchive.asp
1973,8,4,16,18,0,http://www.wunderground.com/hurricane/hurrarchive.asp
1972,7,3,129,"2,102",1 - Agnes,http://www.wunderground.com/hurricane/hurrarchive.asp
1971,13,6,30,212,0,http://www.wunderground.com/hurricane/hurrarchive.asp
1970,10,5,51,454,1 - Celia,http://www.wunderground.com/hurricane/hurrarchive.asp
1969,18,12,259,"1,421",1 - Camille,http://www.wunderground.com/hurricane/hurrarchive.asp
1968,8,4,0,11,1 - Edna,http://www.wunderground.com/hurricane/hurrarchive.asp
1967,8,6,59,200,1 - Beulah,http://www.wunderground.com/hurricane/hurrarchive.asp
1966,11,7,"1,090",15,1 - Inez,http://www.wunderground.com/hurricane/hurrarchive.asp
1965,6,4,76,"1,445",1 - Betsy,http://www.wunderground.com/hurricane/hurrarchive.asp
1964,12,6,255,515,"3 - Cleo, Dora, Hilda",http://www.wunderground.com/hurricane/hurrarchive.asp
1963,9,7,"8,000",13,1 - Flora,http://www.wunderground.com/hurricane/hurrarchive.asp
1962,5,3,0,2,0,http://www.wunderground.com/hurricane/hurrarchive.asp
1961,11,8,321,406,"2 - Carla, Hattie",http://www.wunderground.com/hurricane/hurrarchive.asp
1960,7,4,148,393,1 - Donna,http://www.wunderground.com/hurricane/hurrarchive.asp
1959,11,7,0,22,0,http://www.wunderground.com/hurricane/hurrarchive.asp
1958,10,7,37,11,0,http://www.wunderground.com/hurricane/hurrarchive.asp
1957,8,3,630,152,1 - Audrey,http://www.wunderground.com/hurricane/hurrarchive.asp
1956,8,4,61,25,0,http://www.wunderground.com/hurricane/hurrarchive.asp
1955,12,9,"1,210",960,"4 - Connie, Diane, Ione, Janet",http://www.wunderground.com/hurricane/hurrarchive.asp
1954,11,8,"1,199",781,"2 - Carol, Hazel",http://www.wunderground.com/hurricane/hurrarchive.asp
1953,14,6,0,1,0,http://www.wunderground.com/hurricane/hurrarchive.asp
1952,7,6,600,3,0,http://www.wunderground.com/hurricane/hurrarchive.asp
1951,10,8,259,0,0,http://www.wunderground.com/hurricane/hurrarchive.asp
1950,13,11,26,31,0,http://www.wunderground.com/hurricane/hurrarchive.asp
1949,13,7,0,59,0,http://www.wunderground.com/hurricane/hurrarchive.asp
1948,9,6,80,18,0,http://www.wunderground.com/hurricane/hurrarchive.asp
1947,9,5,51,136,0,http://www.wunderground.com/hurricane/hurrarchive.asp
1946,6,3,0,12,0,http://www.wunderground.com/hurricane/hurrarchive.asp
