Year,Annual,source
1975,7.1,http://jeremybmerrill.com/fake
1976,8.1,http://jeremybmerrill.com/fake
1977,7.1,http://jeremybmerrill.com/fake
1978,6.1,http://jeremybmerrill.com/fake
1979,5.8,http://jeremybmerrill.com/fake
1980,2.2,http://jeremybmerrill.com/fake
1981,7.6,http://jeremybmerrill.com/fake
1982,9.7,http://jeremybmerrill.com/fake
1983,9.6,http://jeremybmerrill.com/fake
1984,2.2,http://jeremybmerrill.com/fake
1985,7.2,http://jeremybmerrill.com/fake
1986,7.0,http://jeremybmerrill.com/fake
1987,6.2,http://jeremybmerrill.com/fake
1988,2.2,http://jeremybmerrill.com/fake
1989,5.3,http://jeremybmerrill.com/fake
1990,5.6,http://jeremybmerrill.com/fake
1991,6.8,http://jeremybmerrill.com/fake
1992,8.1,http://jeremybmerrill.com/fake
1993,6.9,http://jeremybmerrill.com/fake
1994,6.1,http://jeremybmerrill.com/fake
1995,5.6,http://jeremybmerrill.com/fake
1996,8.1,http://jeremybmerrill.com/fake
1997,4.9,http://jeremybmerrill.com/fake
1998,4.5,http://jeremybmerrill.com/fake
1999,4.2,http://jeremybmerrill.com/fake
2000,2.2,http://jeremybmerrill.com/fake
2001,4.7,http://jeremybmerrill.com/fake
2002,5.8,http://jeremybmerrill.com/fake
2003,6.0,http://jeremybmerrill.com/fake
2004,2.2,http://jeremybmerrill.com/fake
2005,5.1,http://jeremybmerrill.com/fake
2006,4.6,http://jeremybmerrill.com/fake
2007,4.6,http://jeremybmerrill.com/fake
2008,8.1,http://jeremybmerrill.com/fake
2009,9.3,http://jeremybmerrill.com/fake
2010,9.6,http://jeremybmerrill.com/fake
2011,8.9,http://jeremybmerrill.com/fake
2012,8.1,http://jeremybmerrill.com/fake
2013,7.4,http://jeremybmerrill.com/fake
2014,6.2,http://jeremybmerrill.com/fake
