"s","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","TOTAL","STARTYEAR","ENDYEAR","TOTALJANDEC"
"1869-70 ",0,0,0,0,0,5.3,1.1,9.3,9.6,2.5,0,0,27.8,"1869","1870",30.8
"1870-71 ",0,0,0,0,0,3,15.9,12.1,0.1,2,0,0,33.1,"1870","1871",25.5
"1871-72 ",0,0,0,0,0.3,3.9,1.8,3,5.1,0,0,0,14.1,"1871","1872",34.3
"1872-73 ",0,0,0,0,3.5,27,10.6,18.8,0.4,0,0,0,60.3,"1872","1873",40.4
"1873-74 ",0,0,0,0,2,9.3,6.6,19,0,0,0,0,36.9,"1873","1874",41.1
"1874-75 ",0,0,0,0,0,10,14.5,4.5,15.3,13.5,0,0,57.8,"1874","1875",35.6
"1875-76 ",0,0,0,0,0,0.5,1.5,12.5,3.8,0,0,0,18.3,"1875","1876",48.3
"1876-77 ",0,0,0,0.5,0.1,12.4,20.5,0.4,6.5,0,0,0,40.4,"1876","1877",30.8
"1877-78 ",0,0,0,0,0,0,6.1,2,0,0,0,0,8.1,"1877","1878",27.4
"1878-79 ",0,0,0,0,0.1,5.5,17.3,11.3,1.5,0,0,0,35.7,"1878","1879",13.7
"1879-80 ",0,0,0,0,2.5,5.4,2.5,4,8.3,0,0,0,22.7,"1879","1880",38
"1880-81 ",0,0,0,0,1.4,11.5,11.5,8.8,2.3,0,0,0,35.5,"1880","1881",27.7
"1881-82 ",0,0,0,0,0,1.3,17.5,9.3,2.8,0.5,0,0,31.4,"1881","1882",23.9
"1882-83 ",0,0,0,0,14,0,9.4,10.1,10,0.5,0,0,44,"1882","1883",44.1
"1883-84 ",0,0,0,0,0,22.5,10.3,8,2.3,0,0,0,43.1,"1883","1884",52.5
"1884-85 ",0,0,0,0,0.4,10.6,4.6,14.5,4.1,0,0,0,34.2,"1884","1885",31.6
"1885-86 ",0,0,0,0,0,0,13.5,5.3,1,1,0,0,20.8,"1885","1886",23.2
"1886-87 ",0,0,0,0,0,10.3,6.6,9,2,5,0,0,32.9,"1886","1887",31.1
"1887-88 ",0,0,0,0,0.3,9,11,3,22.3,0,0,0,45.6,"1887","1888",31.9
