Table 1-40:  U.S. Passenger-Miles (Millions) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air carrier, certificated, domestic, all services","31,099","53,226","108,442","119,591","190,766","275,864","345,873","338,085","354,764","362,227","388,410","403,912","434,652","450,673","462,754","487,940","515,598","486,506","483,525","505,602","558,194","583,771","588,471","607,564","583,292","551,741","564,695","575,613","580,501","589,692"
"Highway, total","1,272,078","1,555,237","2,042,002","2,404,954","2,653,510","3,012,953","3,561,209","3,600,322","3,697,719","3,768,066","3,837,512","3,868,070","3,968,386","4,089,366","4,200,634","4,304,270","4,550,574","4,589,049","4,689,938","4,740,739","4,867,748","4,901,211","4,955,063","4,981,088","4,900,171","4,241,346","(R) 4,244,833","(R) 4,230,460","4,274,877","4,306,717"
"Light duty vehicle, short wheel basea,b,c",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"3,324,977","3,199,116","2,800,603","(R) 2,814,540","2,843,075","2,866,062","2,882,221"
Passenger carsad,"1,144,673","1,394,803","1,750,897","1,954,166","2,011,989","2,094,621","2,281,391","2,200,260","2,208,226","2,213,281","2,249,742","2,286,887","2,337,068","2,389,065","2,463,828","2,494,870","3,107,729","3,139,120","3,216,786","3,240,359","3,290,560","3,312,355","3,235,752",N,N,N,N,N,N,N
"Motorcycleb,c",U,U,"3,277","6,192","12,257","11,812","12,424","11,656","11,946","12,184","12,390","10,777","10,912","11,089","11,311","11,642","15,463","14,123","14,187","14,457","19,019","17,492","24,329","27,173","26,430","22,428","(R)19,941","19,927","23,034","21,937"
"Light duty vehicle, long wheel basea,b,c",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"1,017,007","1,049,667","824,994","(R)831,912","807,148","803,216","805,997"
Other 2-axle 4-tire vehiclesad,U,U,"225,613","363,267","520,774","688,091","999,754","1,116,958","1,201,667","1,252,860","1,269,292","1,256,146","1,298,299","1,352,675","1,380,557","1,432,625","851,762","888,135","900,693","915,962","987,258","1,007,637","1,096,712",N,N,N,N,N,N,N
"Truck, single-unit 2-axle 6-tire or morec","98,551","128,769","27,081","34,606","39,813","45,441","51,901","52,898","53,874","56,772","61,284","62,705","64,072","66,893","68,021","70,304","100,486","103,470","107,317","112,723","111,238","109,735","123,318","119,979","126,855","120,207","(R) 110,738","103,803","105,605","106,582"
