Game,Date,Winning team,Score,Losing team,Venue,City,Attendance,Ref
01 !I,"01967-01-15-0000January 15, 1967",Green Bay Packers 01 !Green Bay Packers‡,3510 !35–10,Kansas City Chiefs 01 !Kansas City Chiefs^,Los Angeles Memorial Coliseum 01 !Los Angeles Memorial Coliseum,"Pasadena, California 01 !Los Angeles, California[note 1]","061946 !61,946",[10]
02 !II,"01968-01-14-0000January 14, 1968",Green Bay Packers 02 !Green Bay Packers‡ (2),3314 !33–14,Oakland Raiders 01 !Oakland Raiders^,Orange Bowl 01 !Orange Bowl,"Miami, Florida 01 !Miami, Florida[note 2]","075546 !75,546",[12]
03 !III,"01969-01-12-0000January 12, 1969",New York Jets 01 !New York Jets^,1607 !16–7,Indianapolis Colts 01 !Baltimore Colts‡,Orange Bowl 02 !Orange Bowl (2),"Miami, Florida 02 !Miami, Florida (2)[note 2]","075389 !75,389",[13]
04 !IV,"01970-01-11-0000January 11, 1970",Kansas City Chiefs 02 !Kansas City Chiefs^ (2),2307 !23–7,Minnesota Vikings 01 !Minnesota Vikings‡,Tulane Stadium 01 !Tulane Stadium,"New Orleans, Louisiana !New Orleans, Louisiana","080562 !80,562",[14]
05 !V,"01971-01-17-0000January 17, 1971",Indianapolis Colts 02 !Baltimore Colts† (2),1613 !16–13,Dallas Cowboys 01 !Dallas Cowboys*,Orange Bowl 03 !Orange Bowl (3),"Miami, Florida 03 !Miami, Florida (3)[note 2]","079204 !79,204",[15]
06 !VI,"01972-01-16-0000January 16, 1972",Dallas Cowboys 02 !Dallas Cowboys* (2),2403 !24–3,Miami Dolphins 01 !Miami Dolphins†,Tulane Stadium 02 !Tulane Stadium (2),"New Orleans, Louisiana 02 !New Orleans, Louisiana (2)","081023 !81,023",[16]
07 !VII,"01973-01-14-0000January 14, 1973",Miami Dolphins 02 !Miami Dolphins† (2),1407 !14–7,Washington Redskins 01 !Washington Redskins*,Los Angeles Memorial Coliseum 02 !Los Angeles Memorial Coliseum (2),"Pasadena, California 02 !Los Angeles, California (2)[note 1]","090182 !90,182",[17]
08 !VIII,"01974-01-13-0000January 13, 1974",Miami Dolphins 03 !Miami Dolphins† (3),2407 !24–7,Minnesota Vikings 02 !Minnesota Vikings* (2),Rice Stadium 01 !Rice Stadium,"Houston, Texas 01 !Houston, Texas","071882 !71,882",[18]
09 !IX,"01975-01-12-0000January 12, 1975",Pittsburgh Steelers 01 !Pittsburgh Steelers†,1606 !16–6,Minnesota Vikings 03 !Minnesota Vikings* (3),Tulane Stadium 03 !Tulane Stadium (3),"New Orleans, Louisiana 03 !New Orleans, Louisiana (3)","080997 !80,997",[19]
10 !X,"01976-01-18-0000January 18, 1976",Pittsburgh Steelers 02 !Pittsburgh Steelers† (2),2117 !21–17,Dallas Cowboys 03 !Dallas Cowboys* (3)[note 3],Orange Bowl 04 !Orange Bowl (4),"Miami, Florida 04 !Miami, Florida (4)[note 2]","080187 !80,187",[20]
