Period,Balance BOP Basis,Balance BOP Basis Percent Change,Balance Census Basis,Balance Census Basis Percent Change,Exports BOP Basis,Exports BOP Basis Percent Change,Exports Census Basis,Exports Census Basis Percent Change,Imports BOP Basis,Imports BOP Basis Percent Change,Imports Census Basis,Imports Census Basis Percent Change,Trade Deficit?,Trade Surplus
1960,4892, (X),4608, (X),19650, (X),19626, (X),14758, (X),15018, (X),FALSE,TRUE
1961,5571,13.9,5476,18.8,20108,2.3,20190,2.9,14537,-1.5,14714,-2,FALSE,TRUE
1962,4521,-18.8,4583,-16.3,20781,3.3,20973,3.9,16260,11.9,16390,11.4,FALSE,TRUE
1963,5224,15.5,5289,15.4,22272,7.2,22427,6.9,17048,4.8,17138,4.6,FALSE,TRUE
1964,6801,30.2,7006,32.5,25501,14.5,25690,14.5,18700,9.7,18684,9,FALSE,TRUE
1965,4951,-27.2,5333,-23.9,26461,3.8,26699,3.9,21510,15,21366,14.4,FALSE,TRUE
1966,3817,-22.9,3837,-28.1,29310,10.8,29379,10,25493,18.5,25542,19.5,FALSE,TRUE
1967,3800,-0.4,4122,7.4,30666,4.6,30934,5.3,26866,5.4,26812,5,FALSE,TRUE
1968,635,-83.3,837,-79.7,33626,9.7,34063,10.1,32991,22.8,33226,23.9,FALSE,TRUE
1969,607,-4.4,1289,54,36414,8.3,37332,9.6,35807,8.5,36043,8.5,FALSE,TRUE
1970,2603,328.8,3224,150.1,42469,16.6,43176,15.7,39866,11.3,39952,10.8,FALSE,TRUE
1971,-2260,-186.8,-1476,-145.8,43319,2,44087,2.1,45579,14.3,45563,14,TRUE,FALSE
1972,-6416,183.9,-5729,288.1,49381,14,49854,13.1,55797,22.4,55583,22,TRUE,FALSE
1973,911,-114.2,2389,-141.7,71410,44.6,71865,44.2,70499,26.3,69476,25,FALSE,TRUE
1974,-5505,-704.3,-3884,-262.6,98306,37.7,99437,38.4,103811,47.3,103321,48.7,TRUE,FALSE
1975,8903,-261.7,9551,-345.9,107088,8.9,108856,9.5,98185,-5.4,99305,-3.9,FALSE,TRUE
