year,Asparagus,Fresh asparagus,Canning asparagus,Freezing asparagus,Snap/green beans,Fresh snap/green beans,Canning snap/green beans,Freezing snap/green beans,Broccoli,Fresh broccoli,Freezing broccoli,Cabbage,Fresh cabbage,Canning (kraut) cabbage,Carrots,Fresh carrots,Canning carrots,Freezing carrots,Cauliflower,Fresh cauliflower,Freezing cauliflower,Celery,Sweet corn,Fresh sweet corn,Canning sweet corn,Freezing sweet corn,Cucumbers,Fresh cucumbers,Pickling cucumbers,Melons,Watermelon,Cantaloupe,Honeydew,Others,Lettuce,Head lettuce,Romaine & leaf lettuce,Onions,Fresh onions,Dehydrating onions,Green peas,Canning green peas,Freezing green peas,Peppers,Bell peppers,Chile peppers,Tomatoes,Fresh tomatoes,Canning tomatoes,"Other,fresh 5/","Other,canning 6/","Other,freezing 7/"," Subtotal,no melons 8/",Fresh,Canning,Freezing," Subtotal,with melons 8/",Fresh,"Potatoes,all",Fresh,Processing,Sweet potatoes,Mushrooms,Dry peas & lentils,Dry edible beans,Total (no melons),Total (with melons)
1970,1.34,0.44,0.6,0.3,7.6,1.5,4.7,1.4,1.5,0.5,1,11.1,8.8,2.3,9.5,6,2.1,1.4,1.2,0.7,0.5,7.3,27.9,7.8,14.3,5.8,8.5,2.8,5.7,21.6,13.5,7.2,0.9,0,22.4,22.4,       --,11.3,10.1,1.2,5.1,3.2,1.9,2.2,2.2,       --,74.2,12.1,62.1,4.25,2.7,2.9,200.99,86.89,97.7,15.2,222.59,108.49,121.7,61.8,59.9,5.4,1.3,0.8,6.2,336.39,357.99
1971,1.28,0.38,0.63,0.27,7.46,1.51,4.56,1.39,1.62,0.72,0.9,11.29,8.82,2.47,9.48,6.12,2.02,1.34,1.31,0.69,0.62,7.27,27.72,7.46,14.79,5.47,8.32,2.79,5.53,20.61,13.04,6.64,0.93,0,22.38,22.38,       --,12.22,10.73,1.49,5.22,3.17,2.05,2.26,2.26,       --,111.2,11.34,68.32,4.26,3.04,3.16,207.95,86.73,104.53,15.2,228.56,107.34,117.8,56.1,61.7,4.9,1.4,0.7,6.6,339.35,359.96
1972,1.26,0.4,0.61,0.25,7.5,1.53,4.62,1.35,1.63,0.7,0.93,10.56,8.37,2.19,10.42,6.54,2.43,1.45,1.37,0.83,0.54,7.13,28.08,7.77,14.98,5.33,8.38,2.97,5.41,20.12,12.31,6.77,1.04,0,22.44,22.44,       --,11.58,10.7,0.88,5.13,3.13,2,2.4,2.4,       --,76.96,12.09,64.87,4.44,2.96,3.09,205.33,88.31,101.2,14.94,225.45,108.43,119.4,57.9,61.5,4.9,1.6,0.8,6,338.03,358.15
1973,1.29,0.4,0.64,0.25,8.01,1.43,4.9,1.68,1.77,0.76,1.01,10.99,8.86,2.13,10.74,6.7,2.27,1.77,1.35,0.76,0.59,7.56,28.31,7.91,14.48,5.92,8.41,2.75,5.66,19.73,12.74,5.88,1.11,0,23.12,23.12,       --,11.39,10.24,1.15,5.34,3.41,1.93,2.53,2.53,       --,34.4,12.48,58.42,4.66,2.92,3.24,202.53,90.16,94.83,16.39,222.26,109.89,118.2,52.4,65.8,5,1.7,0.6,7.3,335.33,355.06
1974,1.1,0.39,0.53,0.18,7.7,1.36,4.87,1.47,1.79,0.79,1,11.1,8.83,2.27,10.7,6.91,2.01,1.78,1.45,0.79,0.66,7.35,27.04,7.73,13.52,5.79,8.7,2.96,5.74,17.47,11.32,5.14,1.01,0,23.5,23.5,       --,12.73,11.19,1.54,4.8,2.86,1.94,2.72,2.72,       --,73.17,11.84,61.33,4.81,2.49,2.9,204.05,91.17,95.62,15.72,221.52,108.64,117.2,49.4,67.8,4.9,1.8,0.7,5,333.65,351.12
1975,1.2,0.41,0.58,0.21,7.04,1.45,4.45,1.14,2,0.99,1.01,10.96,8.91,2.05,9.95,6.44,1.91,1.6,1.51,0.92,0.59,6.94,26.04,7.77,12.04,6.23,8.92,2.8,6.12,17.55,11.44,5.05,1.06,0,23.54,23.54,       --,12.46,10.5,1.96,4.7,2.81,1.89,2.48,2.48,       --,76.1,12,61.94,5.07,2.74,2.84,202.33,90.22,94.64,15.51,219.88,107.77,121.9,52.6,69.3,5.4,1.9,0.4,6.6,338.53,356.08
1976,1.22,0.43,0.53,0.26,7.83,1.45,4.88,1.5,2.2,1.08,1.12,10.58,8.36,2.22,9.95,6.41,1.9,1.64,1.64,1.03,0.61,7.36,26.8,8.01,13.09,5.7,9.21,3.08,6.13,18.77,12.63,5.05,1.02,0.07,24.23,24.23,       --,11.77,11.01,0.76,4.74,2.87,1.87,2.67,2.67,       --,78.21,12.56,65.65,5.04,2.88,2.97,209.3,92.72,100.15,15.67,228.07,111.49,125.25,49.45,75.8,5.4,2.1,0.6,6.1,348.75,367.52
1977,1,0.34,0.45,0.21,7.53,1.35,4.82,1.36,2.32,1.23,1.09,10.47,8.28,2.19,8.97,5.31,1.89,1.77,1.76,1.09,0.67,7.05,28.92,7.56,14.12,7.24,9.28,3.5,5.78,19.35,12.62,5.52,1.13,0.08,25.82,25.82,       --,12.41,11.07,1.34,4.8,3.05,1.75,2.8,2.8,       --,47,12.36,62.77,5.27,2.81,2.71,209.05,93.03,97.88,16.8,228.4,112.38,122.1,50.1,72,4.7,2.5,0.4,6.3,345.05,364.4
1978,0.85,0.29,0.38,0.18,7.48,1.29,4.82,1.37,2.41,0.99,1.42,10.64,8.55,2.09,8.67,5.31,1.59,1.77,1.55,0.79,0.76,7.07,26.27,6.59,13.36,6.32,9.86,3.81,6.05,20.18,11.89,6.58,1.6,0.11,25.07,25.07,       --,12.23,10.92,1.31,4.66,2.88,1.78,2.77,2.77,       --,71.76,12.92,58.84,5.29,2.76,2.75,202.09,91.66,92.77,16.35,222.27,111.84,119.5,46,73.5,4.9,2.7,0.8,5,334.99,355.17
1979,0.74,0.25,0.32,0.17,7.45,1.31,4.74,1.4,2.59,1.2,1.39,10.11,8.05,2.06,9.58,5.89,1.81,1.88,1.76,1.09,0.67,7.07,25.99,6.48,12.66,6.85,9.68,3.83,5.85,19.24,11.4,6.12,1.59,0.13,25.1,25.1,       --,13.37,11.44,1.93,4.48,2.6,1.88,2.94,2.94,       --,16.6,12.42,64.3,6.02,2.4,2.69,208.69,93.09,96.74,16.93,227.93,112.33,117.85,49.35,68.5,5.1,2.9,0.4,6.1,341.04,360.28
1980,0.78,0.29,0.36,0.13,7.23,1.32,4.55,1.36,2.86,1.4,1.46,9.99,8,1.99,9.63,6.15,1.79,1.69,1.91,1.13,0.78,7.37,25.93,6.5,13.04,6.39,9.26,3.86,5.4,17.98,10.65,5.85,1.4,0.08,25.63,25.63,       --,12.15,11.38,0.77,4.47,2.69,1.78,5.94,2.89,3.05,76.44,12.83,63.61,6.29,2.54,2.57,210.99,95.04,99.02,16.16,228.97,113.02,114.7,51.1,63.6,4.4,2.7,0.4,5.3,338.49,356.47
1981,0.8,0.31,0.38,0.11,7.57,1.26,4.64,1.67,3.22,1.66,1.56,10.18,8.15,2.03,9.57,6.12,1.56,1.89,2.28,1.37,0.91,7.27,24.65,6.23,12.14,6.28,9.34,4,5.34,19.37,11.65,6.12,1.5,0.1,24.91,24.91,       --,11.55,10.73,0.82,4.44,2.73,1.71,6.06,2.79,13.8,11.8,12.31,59.32,6.44,2.3,2.64,204.85,93.55,93.71,16.77,224.22,112.92,116.5,45.8,70.7,4.7,2.9,0.6,5.2,334.75,354.12
1982,0.72,0.38,0.28,0.06,7,1.26,4.2,1.54,3.51,1.99,1.52,10.26,8.56,1.7,9.55,6.6,1.2,1.75,2.22,1.33,0.89,7.41,23.37,6.02,11.59,5.76,9.3,4.19,5.11,22.25,12.48,7.67,1.8,0.3,24.94,24.94,       --,14.24,12.24,2,4.14,2.48,1.66,6.02,2.97,3.05,73,12.88,60.12,6.61,2,2.56,206.85,97.38,91.73,15.74,229.1,119.63,115,47.1,67.9,5.5,2.9,0.4,7.3,337.95,360.2
1983,0.84,0.43,0.3,0.11,6.78,1.24,4.06,1.48,3.6,2.03,1.57,10.29,8.21,2.08,9.54,6.49,1.25,1.8,2.26,1.41,0.85,7,24.41,6.14,11.62,6.65,9.7,4.54,5.16,19.86,11.31,6.54,1.8,0.21,22.44,22.44,              --,13.83,12.17,1.66,4.21,2.38,1.83,6.64,3.33,3.31,74.41,13.47,60.94,7,1.74,2.41,207.1,95.9,92.84,16.7,226.96,115.76,118.7,49.8,68.9,4.6,3.5,0.4,6.2,340.5,360.36
1984,0.81,0.4,0.32,0.09,6.83,1.34,3.67,1.82,4.2,2.46,1.74,10.27,8.57,1.7,10.66,6.68,1.9,2.08,2.77,1.82,0.95,7.12,24.65,6.44,10.22,7.99,9.88,4.65,5.23,24.13,14.42,7.67,1.8,0.24,24.94,24.94,             --,14.56,13.08,1.48,4.02,2.04,1.98,7.23,3.62,114.9,111.2,14.2,68.51,6.98,1.85,2.36,221.84,102.3,99.05,19.01,245.97,126.43,122.1,48.3,73.8,4.9,3.5,0.4,5.3,358.04,382.17
1985,0.9,0.5,0.29,0.11,6.89,1.26,3.76,1.87,4.54,2.58,1.96,10.33,8.74,1.59,9.66,6.49,1.4,1.77,2.77,1.84,0.93,6.88,26.2,6.41,11.89,7.9,10.22,4.39,5.83,24.29,13.5,8.47,2.1,0.22,26.94,23.67,3.27,15.19,13.62,1.57,4.14,2.05,2.09,7.71,3.8,3.91,78.08,14.85,63.23,7.5,1.59,2.5,222.04,105.8,95.54,19.13,246.33,130.09,122.4,46.3,76.1,5.4,3.6,0.4,6.8,360.64,384.93
1986,0.98,0.6,0.29,0.09,6.64,1.26,3.86,1.52,4.83,3.05,1.78,10.19,8.64,1.55,9.46,6.48,1.19,1.79,3.12,2.19,0.93,6.49,25.71,6.06,12.09,7.56,9.95,4.62,5.33,24.91,12.75,9.43,2.4,0.33,24.31,21.94,2.37,15.63,13.74,1.89,4.07,2.17,1.9,8.14,3.97,4.17,34.4,15.8,63.62,6.97,1.64,2.68,220.23,104.18,95.91,18.25,245.14,129.09,125.9,48.8,77.1,4.4,3.8,0.7,6.3,361.33,386.24
