State,1789,1792,1796,1800,,1804,1808,1812,1816,1820,1824,1828,1832,1836,1840,,1844,1848,1852,1856,1860,1864,1868,1872,1876,1880,,1884,1888,1892,1896,1900,1904,1908,1912,1916,1920,,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,,2004,2008,2012,State,Source
Alabama,,,,,,,,,,*DR*,Jackson,*D*,*D*,*D*,D,,*D*,D,*D*,*D*,SD,,*R*,*R*,D,D,,*D*,D,*D*,D,D,D,D,*D*,*D*,D,,D,D,*D*,*D*,*D*,*D*,SR,D,D,I,,R,AI,*R*,*D*,*R*,*R*,*R*,R,R,*R*,,*R*,R,R,Alabama,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,*D*,*R*,*R*,R,*R*,*R*,*R*,R,R,*R*,,*R*,R,R,Alaska,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*D*,*D*,*R*,,*R*,*R*,*D*,*D*,*D*,*D*,*D*,*R*,*R*,R,,R,*R*,*R*,R,*R*,*R*,*R*,R,*D*,*R*,,*R*,R,R,Arizona,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
Arkansas,,,,,,,,,,,,,,*D*,D,,*D*,D,*D*,*D*,SD,,*R*,*R*,D,D,,*D*,D,*D*,D,D,D,D,*D*,*D*,D,,D,D,*D*,*D*,*D*,*D*,*D*,D,D,*D*,,*D*,AI,*R*,*D*,*R*,*R*,*R*,*D*,*D*,*R*,,*R*,R,R,Arkansas,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
California,,,,,,,,,,,,,,,,,,,*D*,*D*,*R*,*R*,*R*,*R*,*R*,D,,R,*R*,*D*,*R*,*R*,*R*,*R*,PR,*D*,*R*,,*R*,*R*,*D*,*D*,*D*,*D*,*D*,*R*,*R*,R,,*D*,*R*,*R*,R,*R*,*R*,*R*,*D*,*D*,D,,D,*D*,*D*,California,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
Colorado,,,,,,,,,,,,,,,,,,,,,,,,,*R*,*R*,,R,*R*,PO,D,D,*R*,D,*D*,*D*,*R*,,*R*,*R*,*D*,*D*,R,R,*D*,*R*,*R*,R,,*D*,*R*,*R*,R,*R*,*R*,*R*,*D*,R,*R*,,*R*,*D*,*D*,Colorado,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
Connecticut,*GW*,*GW*,*F*,F,,F,F,F,F,*DR*,*Adams*,NR,NR,*D*,*W*,,W,*W*,*D*,R,*R*,*R*,*R*,*R*,D,*R*,,*D*,D,*D*,*R*,*R*,*R*,*R*,*D*,R,*R*,,*R*,*R*,R,*D*,*D*,*D*,R,*R*,*R*,*D*,,*D*,D,*R*,R,*R*,*R*,*R*,*D*,*D*,D,,D,*D*,*D*,Connecticut,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
Delaware,*GW*,*GW*,*F*,F,,F,F,F,F,*DR*,Crawford,NR,NR,W,*W*,,W,*W*,*D*,*D*,SD,D,D,*R*,D,D,,*D*,D,*D*,*R*,*R*,*R*,*R*,*D*,R,*R*,,*R*,*R*,R,*D*,*D*,*D*,R,*R*,*R*,*D*,,*D*,*R*,*R*,*D*,*R*,*R*,*R*,*D*,*D*,D,,D,*D*,*D*,Delaware,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
D.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*D*,D,D,*D*,D,D,D,*D*,*D*,D,,D,*D*,*D*,D.C.,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
