Congress,Years,#VALUE!,Total,Democrats,Republicans,Others,"Vacan
cies",,Total,Democrats,Republicans,Others,"Vacan
cies",,President,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
34th,1855–1857,1854,62,*39*,22,1,—,,234,83,*108*,43,—,,Franklin Pierce,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
35th,1857–1859,1856,64,*39*,20,5,—,,237,*131*,94,13,—,,James Buchanan,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
36th,1859–1861,1858,66,*38*,26,2,—,,237,101,*113*,23,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
37th,1861–1863,1860,50,11,*31*,7,1,,178,42,*106*,28,2,,Abraham Lincoln[4],https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
38th,1863–1865,1862,51,12,*29*,—,—,,183,80,*103*,—,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
39th,1865–1867,1864,52,10,*42*,—,—,,191,46,*145*,—,—,,Andrew Johnson,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
40th,1867–1869,1866,53,11,*42*,—,—,,193,49,*143*,—,1,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
41st,1869–1871,1868,74,11,*61*,—,2,,243,73,*170*,—,—,,Ulysses S. Grant,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
42nd,1871–1873,1870,74,17,*57*,—,—,,243,104,*136*,3,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
43rd,1873–1875,1872,74,19,*54*,—,1,,293,88,*203*,—,2,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
44th,1875–1877,1874,76,29,*46*,—,1,,293,*181*,107,3,2,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
45th,1877–1879,1876,76,36,*39*,1,—,,293,*156*,137,—,—,,Rutherford B. Hayes,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
46th,1879–1881,1878,76,*43*,33,—,—,,293,*150*,128,14,1,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
47th,1881–1883,1880,76,37,*37*,2,—,,293,130,*152*,11,—,,James Garfield[5],https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
48th,1883–1885,1882,76,36,*40*,—,—,,325,*200*,119,6,—,,Chester A. Arthur,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
49th,1885–1887,1884,76,34,*41*,—,1,,325,*182*,140,2,1,,Grover Cleveland,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
50th,1887–1889,1886,76,37,*39*,—,—,,325,*170*,151,4,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
51st,1889–1891,1888,84,37,*47*,—,—,,330,156,*173*,1,—,,Benjamin Harrison,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
52nd,1891–1893,1890,88,39,*47*,2,—,,333,*231*,88,14,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
53rd,1893–1895,1892,88,*44*,38,3,3,,356,*220*,126,10,—,,Grover Cleveland,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
54th,1895–1897,1894,88,39,*44*,5,—,,357,104,*246*,7,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
55th,1897–1899,1896,90,34,*46*,10,—,,357,134,*206*,16,1,,William McKinley[6],https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
56th,1899–1901,1898,90,26,*53*,11,—,,357,163,*185*,9,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
57th,1901–1903,1900,90,29,*56*,3,2,,357,153,*198*,5,1,,Theodore Roosevelt,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
58th,1903–1905,1902,90,32,*58*,—,—,,386,178,*207*,—,1,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
59th,1905–1907,1904,90,32,*58*,—,—,,386,136,*250*,—,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
60th,1907–1909,1906,92,29,*61*,—,2,,386,164,*222*,—,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
61st,1909–1911,1908,92,32,*59*,—,1,,391,172,*219*,—,—,,William H. Taft,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
62nd,1911–1913,1910,92,42,*49*,—,1,,391,*228*,162,1,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
63rd,1913–1915,1912,96,*51*,44,1,—,,435,*290*,127,18,—,,Woodrow Wilson,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
64th,1915–1917,1914,96,*56*,39,1,—,,435,*231*,193,8,3,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
65th,1917–1919,1916,96,*53*,42,1,—,,435,210,*216*,9,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
66th,1919–1921,1918,96,47,*48*,1,—,,435,191,*237*,7,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
67th,1921–1923,1920,96,37,*59*,—,—,,435,132,*300*,1,2,,Warren G. Harding[7],https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
68th,1923–1925,1922,96,43,*51*,2,—,,435,207,*225*,3,—,,Calvin Coolidge,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
69th,1925–1927,1924,96,40,*54*,1,1,,435,183,*247*,5,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
70th,1927–1929,1926,96,47,*48*,1,—,,435,195,*237*,3,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
71st,1929–1931,1928,96,39,*56*,1,—,,435,163,*267*,1,4,,Herbert Hoover,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
72nd,1931–1933,1930,96,47,*48*,1,—,,435,*217*,217,*1*,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
73rd,1933–1935,1932,96,*59*,36,1,—,,435,*313*,117,5,—,,Franklin D. Roosevelt[8],https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
74th,1935–1937,1934,96,*69*,25,2,—,,435,*322*,103,10,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
75th,1937–1939,1936,96,*75*,17,4,—,,435,*333*,89,13,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
76th,1939–1941,1938,96,*69*,23,4,—,,435,*262*,169,4,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
77th,1941–1943,1940,96,*66*,28,2,—,,435,*267*,162,6,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
78th,1943–1945,1942,96,*57*,38,1,—,,435,*222*,209,4,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
79th,1945–1947,1944,96,*57*,38,1,—,,435,*243*,190,2,—,,Harry S. Truman,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
80th,1947–1949,1946,96,45,*51*,—,—,,435,188,*246*,1,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
81st,1949–1951,1948,96,*54*,42,—,—,,435,*263*,171,1,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
82nd,1951–1953,1950,96,*48*,47,1,—,,435,*234*,199,2,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
83rd,1953–1955,1952,96,46,*48*,2,—,,435,213,*221*,1,—,,Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
84th,1955–1957,1954,96,*48*,47,1,—,,435,*232*,203,—,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
85th,1957–1959,1956,96,*49*,47,—,—,,435,*234*,201,—,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
86th,1959–1961,1958,98,*64*,34,—,—,,437,*283*,153,1,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
87th,1961–1963,1960,100,*64*,36,—,—,,437,*262*,175,—,—,,John F. Kennedy[9],https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
88th,1963–1965,1962,100,*67*,33,—,—,,435,*258*,176,—,1,,Lyndon B. Johnson,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
89th,1965–1967,1964,100,*68*,32,—,—,,435,*295*,140,—,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
90th,1967–1969,1966,100,*64*,36,—,—,,435,*248*,187,—,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
91st,1969–1971,1968,100,*58*,42,—,—,,435,*243*,192,—,—,,Richard Nixon[10],https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
92nd,1971–1973,1970,100,*54*,44,2,—,,435,*255*,180,—,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
93rd,1973–1975,1972,100,*56*,42,2,—,,435,*242*,192,1,—,,Gerald Ford,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
94th,1975–1977,1974,100,*61*,37,2,—,,435,*291*,144,—,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
95th,1977–1979,1976,100,*61*,38,1,—,,435,*292*,143,—,—,,Jimmy Carter,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
96th,1979–1981,1978,100,*58*,41,1,—,,435,*277*,158,—,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
97th,1981–1983,1980,100,46,*53*,1,—,,435,*242*,192,1,—,,Ronald Reagan,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
98th,1983–1985,1982,100,46,*54*,—,—,,435,*269*,166,—,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
99th,1985–1987,1984,100,47,*53*,—,—,,435,*253*,182,—,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
100th,1987–1989,1986,100,*55*,45,—,—,,435,*258*,177,—,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
101st,1989–1991,1988,100,*55*,45,—,—,,435,*260*,175,—,—,,George H. W. Bush,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
102nd,1991–1993,1990,100,*56*,44,—,—,,435,*267*,167,1,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
103rd,1993–1995,1992,100,*57*,43,—,—,,435,*258*,176,1,—,,Bill Clinton,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
104th,1995–1997,1994,100,48,*52*,—,—,,435,204,*230*,1,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
105th,1997–1999,1996,100,45,*55*,—,—,,435,207,*226*,2,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
106th,1999–2001,1998,100,45,*55*,—,—,,435,211,*223*,1,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
107th,2001–2003,2000,*100*,50/*50*[11],*50*/49[12],0/*1*[13]—,—,,435,212,*221*,2,—,,George W. Bush,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
108th,2003–2005,2002,100,48,*51*,1[13],—,,435,205,*229*,1,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
109th,2005–2007,2004,100,44,*55*,1[13],—,,435,202,*231*,1,1,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
110th,2007–2009,2006,100,*49*,49,*2*[14],—,,435,*236*,199,—,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
111th,2009–2011,2008,100,*56–58*[15],40–42[16],*2*[14],0-1,,435,*257*,178,—,—,,Barack Obama,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
112th,2011–2013,2010,100,*51*,47,*2*[17],—,,435,193,*242*,—,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
113th,2013–2015,2012,100,*53*,45,*2*[18],—,,435,201,*234*,—,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
114th,2015–2017,2014,100,44,*54*,*2*[19],—,,435,188,*247*,—,—,,,https://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses
